(Recognized )Private School List District Rohtak Year 2024,,
SR.NO ,Block Name ,SCHOOL NAME 
178,Kalanaur ,G.S.S.S.Marodhijattan
179,Kalanaur ,G.S.S.S.Nigana
180,Kalanaur ,G.S.S.S.Sundana
181,Kalanaur ,G.S.S.S Saimpal
182,Kalanaur ,G.S.S.S.Kakrana
183,Kalanaur ,G.S.S.S Kherari
184,Kalanaur ,G.S.S.S.Pilana
185,Kalanaur ,G.S.S.S. Sangahera
186,Kalanaur ,G.G.H.S.Anwal
187,Kalanaur ,G.H.S.Basana
188,Kalanaur ,G.H.S.Ballab
189,Kalanaur ,G.H.S.Garhiballab
190,Kalanaur ,G.H.S.Jindran 
191,Kalanaur ,G.H.S.Masudpur
192,Kalanaur ,G.H.S.Patwapur
193,Kalanaur ,G.G.H.S.Sundana
194,Kalanaur ,G.M.S. Kalanaur Kalan
195,Kalanaur ,G.M. S Jethpur
196,Meham,GGMS Ajaib
197,Meham,GMS Bhaini Surjan
198,Meham,GMS Bedwa
199,Meham,GGMS Farmana B. Pur
200,Meham,GGMS Farmana New
201,Meham,GMS Imligarh
202,Meham,GGMS Madina
203,Meham,GMS Mokhra Kheri Roz
204,Meham,GGHS Bharan
205,Meham,GHS Bhaini Bharon
206,Meham,GGHS BHAINI MATO
207,Meham,GGHS GORAWAR
208,Meham,GHS KHARKARA
209,Meham,GHS MURADPUR TEKNA
210,Meham,GSSS Bhaini Maharajpur
211,Meham,GSSS AJAIB
212,Meham,GSSS BEHLBA
213,Meham,GGSSS BEHLBA
214,Meham,GSSS BHAINI CHANDERPAL
215,Meham,GSSS BHARAN
216,Meham,GSSS FARMANA
217,Meham,GGSSS FARMANA
218,Meham,GSSS GORAWAR
219,Meham,GGSSS KHARKARA
220,Meham,GSSS Kheri Meham
221,Meham,GSSS Kishan Garh
222,Meham,GSSS MADINA
223,Meham,GGSSS MADINA
224,Meham,GSSS MEHAM
225,Meham,GGSSS MEHAM
226,Meham,GSSS MOKHRA
227,Meham,GGSSS MOKHRA
228,Meham,GSSS NARAINA
229,Meham,GSSS NINDANA
230,Meham,GGSSS NINDANA
231,Meham,GSSS SAIMAN
232,Meham,GGSSS SAIMAN
233,Meham,GSSS SISAR KHAS
234,Rohtak,GGSSS ASSAN
235,Rohtak,GGSSS BAHUAKBERPUR
236,Rohtak,GGSSS BALAND
237,Rohtak,GGSSS BHALOUT
238,Rohtak,GGSSS BOHAR
239,Rohtak,GGSSS GANDHI NAGAR
240,Rohtak,GGSSS HISSAR ROAD
241,Rohtak,GGSSS KANSALA
242,Rohtak,GGSSS KARONTHA
243,Rohtak,GGSSS KHIDWALI
244,Rohtak,GGSSS MAINA
245,Rohtak,GGSSS MODEL TOWN
246,Rohtak,GGSSS RURKI
247,Rohtak,GMSSS SANGHI
248,Rohtak,GMSSSS BHIWANI ROAD RTK
249,Rohtak,GSSS ASSAN
250,Rohtak,GSSS BAHUAKBERPUR
251,Rohtak,GSSS BAKEHTA
252,Rohtak,GSSS BHAGWATIPUR
253,Rohtak,GSSS BHALOUT
254,Rohtak,GSSS BRAHMANWAS
255,Rohtak,GSSS CHAMARIAN
256,Rohtak,GSSS DHAMAR
257,Rohtak,GSSS DOBH
258,Rohtak,GSSS GADDI KHERI
259,Rohtak,GSSS GANDHI NAGAR
260,Rohtak,GSSS GHILOUR KALAN
261,Rohtak,GSSS HAMAYUPUR
262,Rohtak,GSSS JASSIA
263,Rohtak,GSSS KAHNI
264,Rohtak,GSSS KARONTHA
265,Rohtak,GSSS KHIDWALI
266,Rohtak,GGSSS KILOI
267,Rohtak,GSSS LADHOUT
268,Rohtak,GSSS MAKRAULI KALAN
269,Rohtak,GSSS MUNGAN
270,Rohtak,GSSS PEHRAWAR
271,Rohtak,GSSS RITAULI
272,Rohtak,GSSS RITHAL
273,Rohtak,GSSS RURKEE
274,Rohtak,GSSS SAMARGOPALPUR
275,Rohtak,GSSS SANGHI
276,Rohtak,GSSS SINGHPURA KHURD
277,Rohtak,GSSS SUNARIAN
278,Rohtak,GSSS KILOI 
279,Rohtak,GSSS SUKHPURA
280,Sampla ,GSSS BALIANA
281,Sampla ,GSSS CHULIANA
282,Sampla ,GSSS DATTAUR
283,Sampla ,GGSSS HASSANGARH
284,Sampla ,GGSSS ISMAILA
285,Sampla ,GSSS KHARAWAR
286,Sampla ,GSSS KHERI SADH
287,Sampla ,GSSS MORKHERI
288,Sampla ,GSSS PAKASMA
289,Sampla ,GGSSS PAKASMA
290,Sampla ,GGSSS SAMPLA
291,Sampla ,GSSS SAMCHANA
292,Sampla ,GSSS SAMPLA
293,Sampla ,GGSSS KHARAWAR
294,Sampla ,GSSS ATAIL
295,Sampla ,GSSS ISMAILA
296,Sampla ,GSSS GANDHRA
297,Sampla ,GGSSS GANDHRA
298,Sampla ,GSSS KAROR
299,Sampla ,GHS HASSANGARH
300,Sampla ,GHS KULTANA
301,Sampla ,GHS NAYA BANS
302,Sampla ,GHS NONAND
303,Sampla ,GGHS ATAIL
304,Sampla ,GGHS BALIANA
305,Sampla ,GHS GARHI SAMPLA
306,Sampla ,GGHS SAMCHANA
307,Sampla ,GGHS GIJHI 
308,Sampla ,GHS GIJHI
309,Sampla ,GHS B.KALAN
310,Sampla ,GHS B.KHURD
311,Sampla ,GGHS CHULIANA
